title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
Leakage and the reproducibility crisis in machine-learning-based science,"Summary Machine-learning (ML) methods have gained prominence in the quantitative sciences. However, there are many known methodological pitfalls, including data leakage, in ML-based science. We systematically investigate reproducibility iss...",2023,Patterns,559,25,10.1016/j.patter.2023.100804,https://doi.org/10.1016/j.patter.2023.100804,semantic_scholar,Sayash Kapoor|Arvind Narayanan,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Benchmarking the reproducibility of all-solid-state battery cell performance,The interlaboratory comparability and reproducibility of all-solid-state battery cell cycling performance are poorly understood due to the lack of standardized set-ups and assembly parameters. This study quantifies the extent of this variab...,2024,Nature Energy,95,1,10.1038/s41560-024-01634-3,https://doi.org/10.1038/s41560-024-01634-3,semantic_scholar,Sebastian Puls|Elina Nazmutdinova|Fariza Kalyk|H. M. Woolley|Jesper Frost Thomsen|Zhu Cheng|Adrien Fauchier-Magnan|Ajay Gautam|Michael Gockeln|So-Yeon Ham|Md Toukir Hasan|Min-Gi Jeong|Daiki Hiraoka|Jong Seok Kim|Tobias Kutsch|Barthélémy Lelotte|Philip Minnmann|V. Miss|K. Motohashi|Douglas Lars Nelso,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
A Sober Look at Progress in Language Model Reasoning: Pitfalls and Paths to Reproducibility,"Reasoning has emerged as the next major frontier for language models (LMs), with rapid advances from both academic and industrial labs. However, this progress often outpaces methodological rigor, with many evaluations relying on benchmarkin...",2025,arXiv.org,81,8,10.48550/arXiv.2504.07086,https://doi.org/10.48550/arXiv.2504.07086,semantic_scholar,Andreas Hochlehnert|Hardik Bhatnagar|Vishaal Udandarao|Samuel Albanie|Ameya Prabhu|Matthias Bethge,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Reproducibility in Machine Learning-based Research: Overview, Barriers and Drivers","Many research fields are currently reckoning with issues of poor levels of reproducibility. Some label it a “crisis,” and research employing or building machine learning (ML) models is no exception. Issues including lack of transparency, da...",2024,The AI Magazine,72,2,10.48550/arXiv.2406.14325,https://doi.org/10.48550/arXiv.2406.14325,semantic_scholar,Harald Semmelrock|Tony Ross-Hellauer|Simone Kopeinik|Dieter Theiler|Armin Haberl|Stefan Thalmann|Dominik Kowald,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Radiomics and Deep Features: Robust Classification of Brain Hemorrhages and Reproducibility Analysis Using a 3D Autoencoder Neural Network,This study evaluates the reproducibility of machine learning models that integrate radiomics and deep features (features extracted from a 3D autoencoder neural network) to classify various brain hemorrhages effectively. Using a dataset of 7...,2024,Bioengineering,68,0,10.3390/bioengineering11070643,https://doi.org/10.3390/bioengineering11070643,semantic_scholar,S. Bijari|Sahar Sayfollahi|Shiwa Mardokh-Rouhani|Sahar Bijari|Sadegh Moradian|Ziba Zahiri|S. M. Rezaeijo,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,"AI agents have the potential to aid users on a variety of consequential tasks, including conducting scientific research. To spur the development of useful agents, we need benchmarks that are challenging, but more crucially, directly corresp...",2024,Trans. Mach. Learn. Res.,61,9,10.48550/arXiv.2409.11363,https://doi.org/10.48550/arXiv.2409.11363,semantic_scholar,Zachary S. Siegel|Sayash Kapoor|Nitya Nagdir|Benedikt Stroebl|Arvind Narayanan,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Flexible Temperature Sensor with High Reproducibility and Wireless Closed‐Loop System for Decoupled Multimodal Health Monitoring and Personalized Thermoregulation,"Temperature and pulse waves are two fundamental indicators of body health. Specifically, thermoresistive flexible temperature sensors are one of the most applied sensors. However, they suffer from poor reproducibility of resistivity; and de...",2024,Advances in Materials,57,0,10.1002/adma.202407859,https://doi.org/10.1002/adma.202407859,semantic_scholar,Xujing Zhang|Jiaxiang Chen|Zhihao Zheng|Songsong Tang|Bin Cheng|Zhiwei Zhang|R. Ma|Zetong Chen|Jingting Zhuo|Lingyun Cao|Zhihong Chen|Jiangfeng He|Xiaofeng Wang|Guowei Yang|Fang Yi,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Reproducibility of in vivo electrophysiological measurements in mice,"Understanding brain function relies on the collective work of many labs generating reproducible results. However, reproducibility has not been systematically assessed within the context of electrophysiological recordings during cognitive be...",2024,bioRxiv,46,4,10.1101/2022.05.09.491042,https://doi.org/10.1101/2022.05.09.491042,semantic_scholar,Kush Banga|Julius Benson|Jai Bhagat|D. Biderman|D. Birman|Niccolò Bonacchi|Sebastian A. Bruijns|R. A. Campbell|M. Carandini|Gaëlle A. Chapuis|A. Churchland|M. F. Davatolhagh|Hyun Dong Lee|Mayo Faulkner|Berk Gerçek|Fei Hu|Julia M. Huntenburg|C. Hurwitz|Anup Khanal|Christopher S. Krasniak|Guido T. Mei,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"The Model Openness Framework: Promoting Completeness and Openness for Reproducibility, Transparency, and Usability in Artificial Intelligence","Generative artificial intelligence (AI) offers numerous opportunities for research and innovation, but its commercialization has raised concerns about the transparency and safety of frontier AI models. Most models lack the necessary compone...",2024,,39,4,,,semantic_scholar,M. White|Ibrahim Haddad|Cailean Osborne|Xiao-Yang Liu|Ahmed Abdelmonsef|Sachin Varghese|A. L. Hors,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Fluorinated isopropanol for improved defect passivation and reproducibility in perovskite solar cells,,2025,Nature Energy,25,0,10.1038/s41560-025-01791-z,https://doi.org/10.1038/s41560-025-01791-z,semantic_scholar,Sisi Wang|Weizhong Tian|Zhendong Cheng|Xiaohuo Shi|Wei Fan|Jingjing Zhou|Danyu Gu|Jingjing Xue|Rui Wang,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
