title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
MorphBPE: A Morpho-Aware Tokenizer Bridging Linguistic Complexity for Efficient LLM Training Across Morphologies,"Tokenization is fundamental to Natural Language Processing (NLP), directly impacting model efficiency and linguistic fidelity. While Byte Pair Encoding (BPE) is widely used in Large Language Models (LLMs), it often disregards morpheme bound...",2025,arXiv.org,24,1,10.48550/arXiv.2502.00894,https://doi.org/10.48550/arXiv.2502.00894,semantic_scholar,Ehsaneddin Asgari|Y. E. Kheir|Mohammad Ali Sadraei Javaheri,0.8,primary:title:tokenizer|kw:title:bpe|syn:abstract:subword,matched 3 term(s); primary_in_title_or_abstract=True; raw_score=6.4
R-BPE: Improving BPE-Tokenizers with Token Reuse,,2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,0,0,10.18653/v1/2025.emnlp-main.1169,https://doi.org/10.18653/v1/2025.emnlp-main.1169,crossref,Nancy Hamdan|Osama Rakan Al Mraikhat|Fadi A. Zaraket,0.75,primary:title:tokenizer|kw:title:bpe,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=6.0
Universal Cross-Tokenizer Distillation via Approximate Likelihood Matching,"Distillation has shown remarkable success in transferring knowledge from a Large Language Model (LLM) teacher to a student LLM. However, current distillation methods require similar tokenizers between the teacher and the student, restrictin...",2025,,27,5,,,semantic_scholar,Benjamin Minixhofer|E. Ponti|Ivan Vuli'c,0.55,primary:title:tokenizer|syn:abstract:subword,matched 2 term(s); primary_in_title_or_abstract=True; raw_score=4.4
Language Model Beats Diffusion -- Tokenizer is Key to Visual Generation,"While Large Language Models (LLMs) are the dominant models for generative tasks in language, they do not perform as well as diffusion models on image and video generation. To effectively use LLMs for visual generation, one crucial component...",2023,,609,78,,,semantic_scholar,Lijun Yu|José Lezama|N. B. Gundavarapu|Luca Versari|Kihyuk Sohn|David C. Minnen|Yong Cheng|Agrim Gupta|Xiuye Gu|Alexander G. Hauptmann|Boqing Gong|Ming-Hsuan Yang|Irfan Essa|David A. Ross|Lu Jiang,0.5,primary:title:tokenizer,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
TokenFlow: Unified Image Tokenizer for Multimodal Understanding and Generation,"We present TokenFlow, a novel unified image tokenizer that bridges the long-standing gap between multimodal understanding and generation. Prior research attempt to employ a single reconstruction-targeted Vector Quantization (VQ) encoder for...",2024,Computer Vision and Pattern Recognition,160,10,10.1109/CVPR52734.2025.00243,https://doi.org/10.1109/CVPR52734.2025.00243,semantic_scholar,Liao Qu|Huichao Zhang|Yiheng Liu|Xu Wang|Yi Jiang|Yiming Gao|Hu Ye|Daniel K. Du|Zehuan Yuan|Xinglong Wu,0.5,primary:title:tokenizer,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
WavTokenizer: an Efficient Acoustic Discrete Codec Tokenizer for Audio Language Modeling,"Language models have been effectively applied to modeling natural signals, such as images, video, speech, and audio. A crucial component of these models is the codec tokenizer, which compresses high-dimensional natural signals into lower-di...",2024,International Conference on Learning Representations,158,24,10.48550/arXiv.2408.16532,https://doi.org/10.48550/arXiv.2408.16532,semantic_scholar,Shengpeng Ji|Ziyue Jiang|Xize Cheng|Yifu Chen|Minghui Fang|Jialong Zuo|Qian Yang|Ruiqi Li|Ziang Zhang|Xiaoda Yang|Rongjie Huang|Yidi Jiang|Qian Chen|Siqi Zheng|Wen Wang|Zhou Zhao,0.5,primary:title:tokenizer,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
UniTok: A Unified Tokenizer for Visual Generation and Understanding,"Visual generative and understanding models typically rely on distinct tokenizers to process images, presenting a key challenge for unifying them within a single framework. Recent studies attempt to address this by connecting the training of...",2025,arXiv.org,107,23,10.48550/arXiv.2502.20321,https://doi.org/10.48550/arXiv.2502.20321,semantic_scholar,Chuofan Ma|Yi Jiang|Junfeng Wu|Jihan Yang|Xin Yu|Zehuan Yuan|Bingyue Peng|Xiaojuan Qi,0.5,primary:title:tokenizer,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
OmniTokenizer: A Joint Image-Video Tokenizer for Visual Generation,"Tokenizer, serving as a translator to map the intricate visual data into a compact latent space, lies at the core of visual generative models. Based on the finding that existing tokenizers are tailored to image or video inputs, this paper p...",2024,Neural Information Processing Systems,101,13,10.48550/arXiv.2406.09399,https://doi.org/10.48550/arXiv.2406.09399,semantic_scholar,Junke Wang|Yi Jiang|Zehuan Yuan|Binyue Peng|Zuxuan Wu|Yu-Gang Jiang,0.5,primary:title:tokenizer,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
One-D-Piece: Image Tokenizer Meets Quality-Controllable Compression,"Current image tokenization methods require a large number of tokens to capture the information contained within images. Although the amount of information varies across images, most image tokenizers only support fixed-length tokenization, l...",2025,arXiv.org,37,6,10.48550/arXiv.2501.10064,https://doi.org/10.48550/arXiv.2501.10064,semantic_scholar,Keita Miwa|Kento Sasaki|Hidehisa Arai|Tsubasa Takahashi|Yu Yamaguchi,0.5,primary:title:tokenizer,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
XY-Tokenizer: Mitigating the Semantic-Acoustic Conflict in Low-Bitrate Speech Codecs,"Speech codecs serve as bridges between speech signals and large language models. An ideal codec for speech language models should not only preserve acoustic information but also capture rich semantic information. However, existing speech co...",2025,arXiv.org,30,3,10.48550/arXiv.2506.23325,https://doi.org/10.48550/arXiv.2506.23325,semantic_scholar,Y. Gong|Luozhijie Jin|Ruifan Deng|Dong Zhang|Xin Zhang|Qinyuan Cheng|Zhaoye Fei|Shimin Li|Xipeng Qiu,0.5,primary:title:tokenizer,matched 1 term(s); primary_in_title_or_abstract=True; raw_score=4.0
