topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
B12,paper,Breaking Physical and Linguistic Borders: Multilingual Federated Prompt Tuning for Low-Resource Languages,https://doi.org/10.48550/arXiv.2507.03003,10.48550/arXiv.2507.03003,2025,International Conference on Learning Representations,paper,PARTIAL_OVERLAP,0.75,,Relevance 0.75: paper titled 'Breaking Physical and Linguistic Borders: Multilingual Federated Prompt Tuning for Low-Resource Lang' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual|kw:title:low-resource.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,An Adaptive Multilingual and Morphology-Aware Framework for Low-Resource Indian Language Translation,https://doi.org/10.1109/ICICNCT66124.2025.11232851,10.1109/ICICNCT66124.2025.11232851,2025,2025 International Conference on Intelligent Communication Networks and Computational Techniques (ICICNCT),tool,DIRECT_OVERLAP,0.75,,Relevance 0.75: paper titled 'An Adaptive Multilingual and Morphology-Aware Framework for Low-Resource Indian Language Translation' contributes a 'tool' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual|kw:title:low-resource.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
B12,paper,NLP-based approach to multilingual fake news detection through social media in low-resource languages: A review,https://doi.org/10.20944/preprints202509.0710.v1,10.20944/preprints202509.0710.v1,2025,,survey,PARTIAL_OVERLAP,0.75,,Relevance 0.75: paper titled 'NLP-based approach to multilingual fake news detection through social media in low-resource language' contributes a 'survey' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual|kw:title:low-resource.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,MMLU-ProX: A Multilingual Benchmark for Advanced Large Language Model Evaluation,https://doi.org/10.48550/arXiv.2503.10497,10.48550/arXiv.2503.10497,2025,Conference on Empirical Methods in Natural Language Processing,benchmark,PARTIAL_OVERLAP,0.6,,Relevance 0.60: paper titled 'MMLU-ProX: A Multilingual Benchmark for Advanced Large Language Model Evaluation' contributes a 'benchmark' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual|kw:abstract:low-resource.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Trans-Tokenization and Cross-lingual Vocabulary Transfers: Language Adaptation of LLMs for Low-Resource NLP,https://doi.org/10.48550/arXiv.2408.04303,10.48550/arXiv.2408.04303,2024,arXiv.org,paper,PARTIAL_OVERLAP,0.562,,Relevance 0.56: paper titled 'Trans-Tokenization and Cross-lingual Vocabulary Transfers: Language Adaptation of LLMs for Low-Resou' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:abstract:multilingual|kw:title:low-resource|syn:title:low-resource nlp.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Enhancing Low-Resource NLP by Consistency Training With Data and Model Perturbations,https://doi.org/10.1109/TASLP.2023.3325970,10.1109/TASLP.2023.3325970,2024,IEEE/ACM Transactions on Audio Speech and Language Processing,paper,PARTIAL_OVERLAP,0.562,,Relevance 0.56: paper titled 'Enhancing Low-Resource NLP by Consistency Training With Data and Model Perturbations' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:abstract:multilingual|kw:title:low-resource|syn:title:low-resource nlp.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Advancing Low-Resource NLP: Contextual Question Answering for Bengali Language Using Llama,https://doi.org/10.1109/ECCE64574.2025.11013841,10.1109/ECCE64574.2025.11013841,2025,European Conference on Cognitive Ergonomics,paper,PARTIAL_OVERLAP,0.562,,Relevance 0.56: paper titled 'Advancing Low-Resource NLP: Contextual Question Answering for Bengali Language Using Llama' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:abstract:multilingual|kw:title:low-resource|syn:title:low-resource nlp.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Self-Supervised Deep Learning Models for Low-Resource NLP Applications,https://doi.org/10.71143/5nh5zh32,10.71143/5nh5zh32,2026,"International Journal of Research and Review in Applied Science, Humanities, and Technology",paper,PARTIAL_OVERLAP,0.562,,Relevance 0.56: paper titled 'Self-Supervised Deep Learning Models for Low-Resource NLP Applications' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:abstract:multilingual|kw:title:low-resource|syn:title:low-resource nlp.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Cross-Lingual Transfer with Typological Constraints: A Case Study in Low-Resource NLP,https://doi.org/10.31224/4536,10.31224/4536,2025,,empirical,PARTIAL_OVERLAP,0.562,,Relevance 0.56: paper titled 'Cross-Lingual Transfer with Typological Constraints: A Case Study in Low-Resource NLP' contributes a 'empirical' matching target artifact 'benchmark'. Matched keywords: primary:abstract:multilingual|kw:title:low-resource|syn:title:low-resource nlp.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,BLOOM: A 176B-Parameter Open-Access Multilingual Language Model,,,2022,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'BLOOM: A 176B-Parameter Open-Access Multilingual Language Model' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,"A Multitask, Multilingual, Multimodal Evaluation of ChatGPT on Reasoning, Hallucination, and Interactivity",https://doi.org/10.18653/v1/2023.ijcnlp-main.45,10.18653/v1/2023.ijcnlp-main.45,2023,International Joint Conference on Natural Language Processing,paper,PARTIAL_OVERLAP,0.5,,"Relevance 0.50: paper titled 'A Multitask, Multilingual, Multimodal Evaluation of ChatGPT on Reasoning, Hallucination, and Interac' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual.",Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,"SigLIP 2: Multilingual Vision-Language Encoders with Improved Semantic Understanding, Localization, and Dense Features",https://doi.org/10.48550/arXiv.2502.14786,10.48550/arXiv.2502.14786,2025,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,"Relevance 0.50: paper titled 'SigLIP 2: Multilingual Vision-Language Encoders with Improved Semantic Understanding, Localization, ' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual.",Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,CosyVoice: A Scalable Multilingual Zero-shot Text-to-speech Synthesizer based on Supervised Semantic Tokens,https://doi.org/10.48550/arXiv.2407.05407,10.48550/arXiv.2407.05407,2024,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'CosyVoice: A Scalable Multilingual Zero-shot Text-to-speech Synthesizer based on Supervised Semantic' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Multilingual E5 Text Embeddings: A Technical Report,https://doi.org/10.48550/arXiv.2402.05672,10.48550/arXiv.2402.05672,2024,arXiv.org,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Multilingual E5 Text Embeddings: A Technical Report' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Aya Model: An Instruction Finetuned Open-Access Multilingual Language Model,https://doi.org/10.48550/arXiv.2402.07827,10.48550/arXiv.2402.07827,2024,Annual Meeting of the Association for Computational Linguistics,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Aya Model: An Instruction Finetuned Open-Access Multilingual Language Model' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
B12,paper,Do Llamas Work in English? On the Latent Language of Multilingual Transformers,https://doi.org/10.48550/arXiv.2402.10588,10.48550/arXiv.2402.10588,2024,Annual Meeting of the Association for Computational Linguistics,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Do Llamas Work in English? On the Latent Language of Multilingual Transformers' contributes a 'paper' matching target artifact 'benchmark'. Matched keywords: primary:title:multilingual.,Our proposed work focuses specifically on 'Multi-lingual factuality benchmark for low-resource languages'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,weak
