topic_id,source,name,url,doi,year,venue,contribution_type,overlap_class,relevance_score,stars_or_downloads,why_overlaps,how_we_differ,differentiator_strength
NC07_NC,paper,Tatarstan Toponyms: A Bilingual Dataset and Hybrid RAG System for Geospatial Question Answering,http://arxiv.org/abs/2605.05962v1,,2026,arXiv,dataset,PARTIAL_OVERLAP,0.75,,Relevance 0.75: paper titled 'Tatarstan Toponyms: A Bilingual Dataset and Hybrid RAG System for Geospatial Question Answering' contributes a 'dataset' matching target artifact 'framework'. Matched keywords: primary:title:rag|kw:title:question answering.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,MedRAG: Retrieval-Augmented Generation for Medical QA-Comparing Base and RAG-Augmented LLM Performance on Evidence from Peer-Reviewed Clinical Research,https://doi.org/10.2139/ssrn.6608518,10.2139/ssrn.6608518,2026,,survey,PARTIAL_OVERLAP,0.6,,Relevance 0.60: paper titled 'MedRAG: Retrieval-Augmented Generation for Medical QA-Comparing Base and RAG-Augmented LLM Performan' contributes a 'survey' matching target artifact 'framework'. Matched keywords: primary:title:rag|kw:abstract:question answering.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,LatentRAG: Latent Reasoning and Retrieval for Efficient Agentic RAG,http://arxiv.org/abs/2605.06285v1,,2026,arXiv,paper,PARTIAL_OVERLAP,0.6,,Relevance 0.60: paper titled 'LatentRAG: Latent Reasoning and Retrieval for Efficient Agentic RAG' contributes a 'paper' matching target artifact 'framework'. Matched keywords: primary:title:rag|kw:abstract:question answering.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,DO-RAG: A Domain-Specific QA Framework Using Knowledge Graph-Enhanced Retrieval-Augmented Generation,https://doi.org/10.36227/techrxiv.174837976.69904638/v1,10.36227/techrxiv.174837976.69904638/v1,2025,,tool,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'DO-RAG: A Domain-Specific QA Framework Using Knowledge Graph-Enhanced Retrieval-Augmented Generation' contributes a 'tool' matching target artifact 'framework'. Matched keywords: primary:title:rag.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,Traditional RAG vs. Agentic RAG: A Comparative Study of Retrieval-Augmented Systems,https://doi.org/10.36227/techrxiv.175624551.12254549/v1,10.36227/techrxiv.175624551.12254549/v1,2025,,tool,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Traditional RAG vs. Agentic RAG: A Comparative Study of Retrieval-Augmented Systems' contributes a 'tool' matching target artifact 'framework'. Matched keywords: primary:title:rag.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,PandaChat-RAG: Towards the Benchmark for Slovenian RAG Applications,https://doi.org/10.70314/is.2024.scai.538,10.70314/is.2024.scai.538,2024,Proceedings of Slovenian Conference on Artificial Intelligence 2024,benchmark,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'PandaChat-RAG: Towards the Benchmark for Slovenian RAG Applications' contributes a 'benchmark' matching target artifact 'framework'. Matched keywords: primary:title:rag.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,Rag Pickers,https://doi.org/10.2307/jj.21426705.7,10.2307/jj.21426705.7,2025,Rag Pickers,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Rag Pickers' contributes a 'paper' matching target artifact 'framework'. Matched keywords: primary:title:rag.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,Safe RAG by RAG: Untying the Bell That RAG Rang with the RAG Hand,https://doi.org/10.1609/aaai.v40i38.40462,10.1609/aaai.v40i38.40462,2026,Proceedings of the AAAI Conference on Artificial Intelligence,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'Safe RAG by RAG: Untying the Bell That RAG Rang with the RAG Hand' contributes a 'paper' matching target artifact 'framework'. Matched keywords: primary:title:rag.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,rag business/rag trade,https://doi.org/10.5040/9781501365287.2195,10.5040/9781501365287.2195,2022,The Fairchild Books Dictionary of Fashion,paper,PARTIAL_OVERLAP,0.5,,Relevance 0.50: paper titled 'rag business/rag trade' contributes a 'paper' matching target artifact 'framework'. Matched keywords: primary:title:rag.,Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
NC07_NC,paper,"A Unified Evaluation Framework for Grounded LLM Architectures: Comparative Analysis of RAG, Self-RAG, and Agentic RAG",https://doi.org/10.1109/aisp68263.2025.11396270,10.1109/aisp68263.2025.11396270,2025,2025 5th International Conference on Artificial Intelligence and Signal Processing (AISP),tool,PARTIAL_OVERLAP,0.5,,"Relevance 0.50: paper titled 'A Unified Evaluation Framework for Grounded LLM Architectures: Comparative Analysis of RAG, Self-RAG' contributes a 'tool' matching target artifact 'framework'. Matched keywords: primary:title:rag.",Our proposed work focuses specifically on 'RAG for question answering [NEGATIVE_CONTROL]'. Articulate a concrete contribution gap versus this existing work before promoting to GO (see §6 verification log).,moderate
